name,value,description,column_name_lower,osm_key,osm_value
Väghinder/Hindertyp,2,eftergivlig grind,hinde_72,barrier,yes
Väghinder/Hindertyp,1,pollare,hinde_72,barrier,yes
Väghinder/Hindertyp,3,ej öppningsbar grind eller cykelfålla,hinde_72,barrier,yes
Väghinder/Hindertyp,4,låst grind eller bom,hinde_72,barrier,yes
Väghinder/Hindertyp,5,betonghinder,hinde_72,barrier,yes
Väghinder/Hindertyp,6,spårviddshinder,hinde_72,barrier,yes
Väghinder/Hindertyp,99,övrigt,hinde_72,barrier,yes
Tättbebyggt område,,,tattbebyggtomrade,built-up_area,yes
Förbjuden färdriktning (B),,,b_forbjudenfardriktning,forbidden_direction,yes
Förbjuden färdriktning (F),,,f_forbjudenfardriktning,forbidden_direction,-1
C-Rekommenderad bilväg för cykeltrafik,,,c_rekbilvagcykeltrafik,recommended_road_bike,yes
Väghållare/Väghållartyp,1,statlig,vagha_6,road_maintainer_type,state
Väghållare/Väghållartyp,2,kommunal,vagha_6,road_maintainer_type,municipal
Väghållare/Väghållartyp,3,enskild,vagha_6,road_maintainer_type,private
Vägtrafiknät/Nättyp,1,bilnät,vagtr_474,road_network_type,car
Vägtrafiknät/Nättyp,3,färjenät,vagtr_474,road_network_type,ferry
Vägtrafiknät/Nättyp,4,gångnät,vagtr_474,road_network_type,foot
Vägtrafiknät/Nättyp,2,cykelnät,vagtr_474,road_network_type,bicycle
Vägtyp/typ,2,Motortrafikled,vagty_41,road_type,expressway
Vägtyp/typ,3,Motortrafikled mötesfri,vagty_41,road_type,divided_expressway
Vägtyp/typ,4,4-fältsväg,vagty_41,road_type,four-lane_road
Vägtyp/typ,5,Vanlig väg,vagty_41,road_type,standard_road
Vägtyp/typ,1,Motorväg,vagty_41,road_type,motorway
Vägtyp/typ,6,Vanlig väg mötesfri,vagty_41,road_type,divided_standard_road
Vägbredd/Bredd,,,bredd_156,road_width,3.6-6.5
Vägbredd/Bredd,,,bredd_156,road_width,6.6-9.5
Vägbredd/Bredd,,,bredd_156,road_width,9.6-13.5
Vägbredd/Bredd,,,bredd_156,road_width,>13.5
Vägbredd/Bredd,,,bredd_156,road_width,<3.6
ATK-Mätplats (B),,,b_atk_matplats,speed_camera_backward,yes
ATK-Mätplats (F),,,f_atk_matplats,speed_camera_forward,yes
Hastighetsgräns/Högsta tillåtna hastighet (F),120,120,f_hogst_225,speed_limit,120
Hastighetsgräns/Högsta tillåtna hastighet (F),90,90,f_hogst_225,speed_limit,90
Hastighetsgräns/Högsta tillåtna hastighet (F),110,110,f_hogst_225,speed_limit,110
Hastighetsgräns/Högsta tillåtna hastighet (F),70,70,f_hogst_225,speed_limit,70
Hastighetsgräns/Högsta tillåtna hastighet (F),60,60,f_hogst_225,speed_limit,60
Hastighetsgräns/Högsta tillåtna hastighet (F),50,50,f_hogst_225,speed_limit,50
Hastighetsgräns/Högsta tillåtna hastighet (F),5,gångfart,f_hogst_225,speed_limit,5
Hastighetsgräns/Högsta tillåtna hastighet (F),40,40,f_hogst_225,speed_limit,40
Hastighetsgräns/Högsta tillåtna hastighet (F),30,30,f_hogst_225,speed_limit,30
Hastighetsgräns/Högsta tillåtna hastighet (F),20,20,f_hogst_225,speed_limit,20
Hastighetsgräns/Högsta tillåtna hastighet (F),100,100,f_hogst_225,speed_limit,100
Hastighetsgräns/Högsta tillåtna hastighet (F),80,80,f_hogst_225,speed_limit,80
Driftbidrag statligt/Vägnr,,,vagnr_10370,state_maintenance_grant,yes
Slitlager/Slitlagertyp,1,belagd,slitl_152,surface,paved
Väghållare/Väghållarnamn,,,vagha_7,sveaskog,yes
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,251-500
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,501-1000
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,1001-2000
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,2001-4000
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,4001-8000
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,8001-12000
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,12001-16000
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,>16000
Trafik/ÅDT samtliga fordon,,,adt_f_117,traffic_all_vehicles,<251
